sequence_id,class_label,length,base_nll,patched_nll,delta_nll,relative_nll_degradation_pct,mean_kl,top1_agreement,nmse,explained_variance,diagnostic,interpolation_alpha
0,1,248,2.2350096683578187,2.6920423773655378,0.4570327090077191,20.448802324131577,0.430977463722229,0.3650793731212616,0.018860744312405586,0.9831691384315491,reconstruction,0.5
1,1,251,2.460193543922244,2.6765115092119833,0.21631796528973934,8.792721443568515,0.25558143854141235,0.45098042488098145,0.019254561513662338,0.9831756353378296,reconstruction,0.5
2,1,268,2.240260050305581,2.683050739809156,0.4427906895035747,19.765146882977987,0.41192635893821716,0.4007352888584137,0.019585855305194855,0.9826124310493469,reconstruction,0.5
3,1,261,2.292930834221117,2.7583904844341856,0.46545965021306834,20.299768456434045,0.37549713253974915,0.37735849618911743,0.019255943596363068,0.9829478859901428,reconstruction,0.5
4,1,261,2.361453663219105,2.797539219711766,0.4360855564926611,18.466826738331783,0.3939637839794159,0.37735849618911743,0.018929092213511467,0.9831827282905579,reconstruction,0.5
5,1,270,2.259301042382097,2.711293650197459,0.45199260781536177,20.005860190229573,0.37765786051750183,0.3978102207183838,0.019927849993109703,0.9823857545852661,reconstruction,0.5
6,1,304,2.2089306958723536,2.639955402585505,0.4310247067131514,19.512821634403092,0.3528376519680023,0.4610389471054077,0.019457025453448296,0.9825645089149475,reconstruction,0.5
7,1,248,2.3994690184574203,2.7365562165400896,0.3370871980826693,14.048408022345592,0.2647120952606201,0.3809524178504944,0.01918272115290165,0.9831486344337463,reconstruction,0.5
8,1,276,2.1553966016325043,2.6284363449260755,0.4730397432935711,21.94676111743376,0.42292919754981995,0.37857142090797424,0.020450949668884277,0.9818152785301208,reconstruction,0.5
9,1,248,2.4023743891621017,2.8000702269048805,0.39769583774277883,16.55428227743832,0.2848780155181885,0.3373016119003296,0.019194751977920532,0.983170747756958,reconstruction,0.5
10,1,260,2.3308959496791823,2.7523109813153517,0.42141503163616933,18.07952996332469,0.3878493309020996,0.38257578015327454,0.019542621448636055,0.98272705078125,reconstruction,0.5
11,1,255,2.3967543017956636,2.7663072689559107,0.3695529671602471,15.41889241143223,0.3658422529697418,0.40154439210891724,0.01909358985722065,0.9829362630844116,reconstruction,0.5
12,1,236,2.1876368821914225,2.736919067893567,0.5492821857021446,25.10847161947242,0.5574983358383179,0.30416667461395264,0.019292831420898438,0.9830981492996216,reconstruction,0.5
13,1,246,2.5013731684550704,2.6925688594220634,0.19119569096699296,7.6436292424565195,0.2070816159248352,0.4240000247955322,0.019037794321775436,0.9834432005882263,reconstruction,0.5
14,1,270,2.3182466947115383,2.778646727621337,0.4604000329097988,19.859837779994628,0.38411712646484375,0.39416056871414185,0.01989683508872986,0.9824469089508057,reconstruction,0.5
15,1,293,2.3988074225348397,2.751632278029983,0.3528248554951432,14.708344328962857,0.31769806146621704,0.3973063826560974,0.019712571054697037,0.9822536706924438,reconstruction,0.5
16,1,272,2.484366122159091,2.7250745738636364,0.24070845170454547,9.688928276616197,0.309900164604187,0.39855071902275085,0.01954883337020874,0.9825213551521301,reconstruction,0.5
17,1,274,2.1661116947766246,2.6248464205635154,0.4587347257868908,21.177796458653845,0.43162301182746887,0.41366907954216003,0.02006574347615242,0.9822216033935547,reconstruction,0.5
18,1,269,2.221675199620864,2.7025254193474266,0.4808502197265625,21.643587676930505,0.4024180769920349,0.3589743673801422,0.01994572952389717,0.9823305606842041,reconstruction,0.5
19,1,253,2.275468111038208,2.8086838722229004,0.5332157611846924,23.433233742019205,0.470814973115921,0.29571983218193054,0.019869348034262657,0.9825748801231384,reconstruction,0.5
20,1,248,2.4682079786323454,2.7977282763477342,0.3295202977153888,13.350588790251734,0.2403365671634674,0.341269850730896,0.019524937495589256,0.9832519292831421,reconstruction,0.5
21,1,310,2.2305865303015175,2.6453929572059702,0.4148064269044527,18.59629390160361,0.36940550804138184,0.4522293210029602,0.01952790655195713,0.9824616312980652,reconstruction,0.5
22,1,252,2.4261151482077206,2.7637616325827206,0.337646484375,13.917166488343907,0.2724241018295288,0.37109375,0.019358966499567032,0.9830119013786316,reconstruction,0.5
23,1,259,2.2613024529609973,2.7080187615547473,0.44671630859375,19.75482350929263,0.4120382070541382,0.3498098850250244,0.019160235300660133,0.9830369353294373,reconstruction,0.5
24,1,268,2.2378785531019374,2.6616451925017297,0.4237666393997923,18.936087430321308,0.4254527688026428,0.36764705181121826,0.01955607905983925,0.9826890826225281,reconstruction,0.5
25,1,267,2.004643871166088,2.5547408492476853,0.5500969780815974,27.441132362408577,0.5779803991317749,0.3726937174797058,0.019285816699266434,0.982748806476593,reconstruction,0.5
26,1,261,2.3690897623697915,2.753359245531487,0.3842694831616953,16.22013185255218,0.3555183410644531,0.4150943458080292,0.018955158069729805,0.9831485748291016,reconstruction,0.5
27,1,261,2.380060831705729,2.7742145422733193,0.3941537105675903,16.560656993170646,0.3634844422340393,0.4000000059604645,0.019005563110113144,0.983120858669281,reconstruction,0.5
28,1,275,2.1258753495250673,2.598184928619604,0.47230957909453686,22.21718122843155,0.4831017851829529,0.3870967626571655,0.01948530785739422,0.9825358390808105,reconstruction,0.5
29,1,277,2.1254974365234376,2.5786041259765624,0.4531066894531248,21.317677531253448,0.42761456966400146,0.41992881894111633,0.01958117075264454,0.9824409484863281,reconstruction,0.5
30,1,259,2.2345129114980917,2.663896866427123,0.4293839549290315,19.215997934921674,0.4455454647541046,0.3726235628128052,0.019058160483837128,0.9831177592277527,reconstruction,0.5
31,1,275,2.0851075975157376,2.5781421249718974,0.49303452745615983,23.64551968654167,0.47326648235321045,0.41577062010765076,0.01958293281495571,0.9825356602668762,reconstruction,0.5
32,1,275,2.078547855075315,2.522695856986286,0.44414800191097115,21.368187450025186,0.4969819188117981,0.3727598488330841,0.01947777345776558,0.9825764894485474,reconstruction,0.5
33,1,256,2.081177464783422,2.567806052425193,0.4866285876417713,23.38236867716672,0.40445300936698914,0.4615384638309479,0.018940547481179237,0.9830760955810547,reconstruction,0.5
34,1,240,2.767876770270705,2.9378541546103394,0.1699773843396346,6.141074854391384,0.13313919305801392,0.3196721076965332,0.01860409416258335,0.9841299057006836,reconstruction,0.5
35,1,253,2.110013484954834,2.5793228149414062,0.46930932998657227,22.242006192515785,0.41886961460113525,0.4319066107273102,0.018893731757998466,0.9831540584564209,reconstruction,0.5
36,1,241,2.681699659003586,2.870784571913422,0.18908491290983598,7.050935486940118,0.18501241505146027,0.34285712242126465,0.018871471285820007,0.9839256405830383,reconstruction,0.5
37,1,253,2.1025214195251465,2.5797390937805176,0.4772176742553711,22.697398933664633,0.39532142877578735,0.4124513566493988,0.01883484236896038,0.9831587672233582,reconstruction,0.5
38,1,246,2.1422413285956323,2.7013557158320785,0.5591143872364461,26.099505213214197,0.4206430912017822,0.320000022649765,0.018835995346307755,0.9833312630653381,reconstruction,0.5
39,1,246,2.1409456184111444,2.7058708466679215,0.5649252282567772,26.386715449410808,0.42409706115722656,0.328000009059906,0.018836133182048798,0.9833334684371948,reconstruction,0.5
40,1,268,2.307748266691651,2.729508628704451,0.4217603620128001,18.275839184896395,0.39102405309677124,0.3897058963775635,0.01958886906504631,0.9826436638832092,reconstruction,0.5
41,1,268,2.2646434826164668,2.699058617173086,0.4344151345566192,19.18249551822239,0.395776629447937,0.40808823704719543,0.019711876288056374,0.9825125932693481,reconstruction,0.5
42,1,256,2.6417896167652026,2.806457283874276,0.16466766710907343,6.233186248597055,0.1732620745897293,0.4384615421295166,0.017014281824231148,0.9846584796905518,reconstruction,0.5
43,1,226,2.2005123488247134,2.6804201884040664,0.479907839579353,21.808913721191804,0.5157024264335632,0.3173912763595581,0.019205087795853615,0.9831286072731018,reconstruction,0.5
44,1,227,2.1808195694633152,2.6150778065557065,0.4342582370923913,19.912616484786007,0.4068942368030548,0.350649356842041,0.01921166107058525,0.9831916689872742,reconstruction,0.5
45,1,271,2.2556637951927465,2.6815089761775774,0.42584518098483093,18.878929647777696,0.4116657078266144,0.4145454466342926,0.019685544073581696,0.9822999835014343,reconstruction,0.5
46,1,253,2.0995047092437744,2.5423407554626465,0.44283604621887207,21.092405473973823,0.38263633847236633,0.45136186480522156,0.01879819482564926,0.9831857681274414,reconstruction,0.5
47,1,257,2.3369713416466347,2.813434542142428,0.47646320049579316,20.388063473644323,0.4161299169063568,0.38697317242622375,0.019943397492170334,0.9825194478034973,reconstruction,0.5
48,1,273,2.0875920834748642,2.595999897390172,0.5084078139153076,24.353791046622792,0.4871971011161804,0.41877254843711853,0.019704213365912437,0.9825281500816345,reconstruction,0.5
49,1,256,2.34487973953306,2.6778130844292956,0.3329333448962357,14.198312147237596,0.3008021414279938,0.41923075914382935,0.0193253755569458,0.9828435778617859,reconstruction,0.5
50,1,255,2.1419568912003393,2.6462265132933624,0.5042696220930232,23.54247296781186,0.40125852823257446,0.43629342317581177,0.019154032692313194,0.9829456806182861,reconstruction,0.5
51,1,253,2.093353271484375,2.569093942642212,0.4757406711578369,22.72624872439682,0.4112749397754669,0.42412450909614563,0.018878353759646416,0.9831197261810303,reconstruction,0.5
