latent_id,annotation,rank,n_positive,n_negative,activation_prevalence,mean_activation_positive,mean_activation_negative,point_biserial_r,point_biserial_p,auroc,fisher_odds_ratio,fisher_p,q_value,activation_threshold,fire_count_positive,fire_count_negative,any_active_positive,any_active_negative
0,class_label,2,13586,24732,0.523070097604259,1.7851533889770508,0.3027280271053314,0.6845678863082391,0.0,0.8573725232177742,170.86559468337026,0.0,0.0,0.0,33.16303634643555,0.7325732111930847,0.9843957014573826,0.26965065502183405
4,class_label,26,13586,24732,0.44558693042434366,1.509080410003662,0.2013135850429535,0.7702096265311502,0.0,0.9001191224214764,131.42995132291557,0.0,0.0,0.0,10.783895492553711,0.23689956963062286,0.9620933313705284,0.1618550865275756
7,class_label,44,13586,24732,0.41912417140769354,1.1340192556381226,0.13219031691551208,0.7487112284014044,0.0,0.8861221947443829,65.4628517767708,0.0,0.0,0.0,2.864860773086548,0.20774704217910767,0.917562196378625,0.1453178068898593
14,class_label,86,13586,24732,0.5095516467456548,2.1905252933502197,0.2572409510612488,0.7089168717508462,0.0,0.8704106550113581,245.11307617323493,0.0,0.0,0.0,6.898130416870117,0.3490215241909027,0.9877079346385985,0.24688662461588226
17,class_label,104,13586,24732,0.4629677958139778,2.1342995166778564,0.1864861100912094,0.7762627311864236,0.0,0.9045588493725608,311.58346613659603,0.0,0.0,0.0,6.264610767364502,0.2682759165763855,0.9852053584572353,0.17608765971211385
19,class_label,116,13586,24732,0.4491622736050942,1.4797383546829224,0.2614673376083374,0.6603234857580664,0.0,0.8432951214942631,31.992531177858883,0.0,0.0,0.0,2.5990724563598633,0.34978973865509033,0.892315619019579,0.2057253760310529
20,class_label,122,13586,24732,0.5436870400334046,1.5932451486587524,0.31923726201057434,0.6643286626658906,0.0,0.8458488183374353,235.98878524327287,0.0,0.0,0.0,14.074267387390137,0.5838589668273926,0.9901369056381569,0.29843926896328643
26,class_label,158,13586,24732,0.36789498408058874,0.5101062059402466,0.68409264087677,0.2110708047174008,0.0,0.606385424516904,2.4704355755154244,0.0,0.0,0.0,0.8655233383178711,0.7212518453598022,0.5052259679081408,0.29245511887433284
28,class_label,170,13586,24732,0.6667884545122397,2.2322916984558105,0.5695183277130127,0.46329479175806026,0.0,0.7282490021277767,24.440428918632115,0.0,0.0,0.0,1.5280436277389526,0.9311418533325195,0.9614308847342853,0.504932880478732
29,class_label,176,13586,24732,0.5394592619656559,1.7597935199737549,0.3171016275882721,0.6722246305703794,0.0,0.8502072944770829,285.23378260869566,0.0,0.0,0.0,10.464448928833008,0.6250606775283813,0.9915354040924481,0.29112081513828236
30,class_label,182,13586,24732,0.5688449292760582,1.7413781881332397,0.33875328302383423,0.6296196010278879,0.0,0.825903742588382,185.64577119125624,0.0,0.0,0.0,19.178787231445312,0.7395681738853455,0.9895480641837185,0.33774057900695453
32,class_label,194,13586,24732,0.44399498930006787,2.154803514480591,0.15618360042572021,0.8034922907477013,0.0,0.9172607311962331,325.3690709199184,0.0,0.0,0.0,2.702782392501831,0.18320395052433014,0.9826291770940674,0.14810771470160117
37,class_label,224,13586,24732,0.43073751239626284,2.0087223052978516,0.1361778974533081,0.8217553898956498,0.0,0.925307073366307,326.39872260488414,0.0,0.0,0.0,6.83276891708374,0.21057738363742828,0.9797585750036802,0.12914442827106581
48,class_label,290,13586,24732,0.5194686570280286,2.7083418369293213,0.29095780849456787,0.7038951120195704,0.0,0.867574941872382,471.6142371047207,0.0,0.0,0.0,9.624981880187988,0.5841420292854309,0.9939643750920065,0.25881449134724244
60,class_label,362,13586,24732,0.4828018163787254,2.240872621536255,0.22676442563533783,0.7632935513015076,0.0,0.898659345837905,1547.6686949744537,0.0,0.0,0.0,6.999926567077637,0.31323790550231934,0.997423818636832,0.20010512696102215
68,class_label,410,13586,24732,0.5418341249543296,1.8264915943145752,0.31284114718437195,0.6658874825202847,0.0,0.8467710318622703,223.65675218346348,0.0,0.0,0.0,5.895774841308594,0.5192058682441711,0.9894744590019138,0.2959323952773734
86,class_label,518,13586,24732,0.4365050367973276,2.4394993782043457,0.13612596690654755,0.8324258123644732,0.0,0.9315017892737572,1021.8154782020953,0.0,0.0,0.0,7.747386932373047,0.20006468892097473,0.9935227440011777,0.13051916545366327
89,class_label,536,13586,24732,0.7493606138107417,0.14717741310596466,0.4617854654788971,0.242341246972385,0.0,0.6097728253382964,4.001211724730511,0.0,0.0,0.0,0.9635654091835022,0.8450994491577148,0.8910643309288974,0.6715186802523047
99,class_label,596,13586,24732,0.5301163943838405,2.968050718307495,0.579041600227356,0.680739835613283,0.0,0.8551070895277815,223.2479781103201,0.0,0.0,0.0,5.678565979003906,0.8047873377799988,0.9885175916384513,0.27830341258288854
104,class_label,626,13586,24732,0.8125424082676549,0.914445161819458,0.7670757174491882,0.28624462060181904,0.0,0.6167640854997221,9.712855231740075,0.0,0.0,0.0,8.262402534484863,2.36260724067688,0.9632710142794053,0.7297428432799612
107,class_label,644,13586,24732,0.7093533065400073,4.126491069793701,0.6443456411361694,0.46481330778621854,0.0,0.7205921019628072,136.50442595978063,0.0,0.0,0.0,3.5256145000457764,1.1954553127288818,0.9941115854556161,0.5529273815300016
113,class_label,680,13586,24732,0.5998747325016963,1.28789484500885,0.4192509055137634,0.567236187471191,0.0,0.7904621957810218,59.58632124003981,0.0,0.0,0.0,5.939349174499512,0.8906679749488831,0.9748270278227588,0.39390263626071487
117,class_label,704,13586,24732,0.5451745915757608,1.178680419921875,0.282836377620697,0.6447627214156534,0.0,0.8355733748427036,101.95357890458105,0.0,0.0,0.0,4.166126728057861,0.49559274315834045,0.9783600765493891,0.3072133268639819
